Track Name,Artist,Density,Multi,Signatures,Syll.
"Black Folk (feat. Rapsody, Kota the Friend, Orleans Big, Dee-1, Alex Isley) - Remix",Rapsody,60.4,18.6,135,724
Intimidated,Rapsody,29.2,34.2,41,120
Dostoyevsky,Rapsody,48.0,35.4,104,294
Ocean Drive,Rapsody,23.1,40.7,37,91
Best I Can,Rapsody,57.6,24.3,91,375
Nobody,Rapsody,60.0,23.7,111,468
Stop Play Rewind,Rapsody,47.2,33.0,70,212
"Expectations [Feat. Baby Rose, Rapsody, James Poyser]",Rapsody,63.8,3.6,547,15330
On The Come Up,Rapsody,64.2,15.5,92,593
A Rollercoaster Jam Called Love,Rapsody,61.1,19.7,126,640
Praise The Lord (Da Shine) (feat. Skepta),Skepta,62.8,21.5,123,572
Praise The Lord (Da Shine) (feat. Skepta) - Durdenhauer Edit,Skepta,79.9,14.6,29,199
Tony Montana,Skepta,46.7,25.6,86,336
Gas Me Up (Diligent),Skepta,60.6,18.5,127,687
#skeptacore pt.3,Skepta,66.1,19.3,112,579
Lean 4 Real (feat. Skepta),Skepta,48.3,34.9,52,149
Energy (Stay Far Away),Skepta,34.0,40.4,63,156
Show Out (with Skepta & Pop Smoke),Skepta,34.7,40.8,60,147
Greaze Mode,Skepta,58.3,22.4,93,415
Papi Chulo,Skepta,45.7,31.0,65,210
Jangrova (feat. Tribal Mark),Skepta,50.9,14.1,97,688
Wow (feat. Skepta & Naira Marley),Skepta,42.0,39.1,66,169
Glow In The Dark,Skepta,52.2,25.1,116,462
Dimension (feat. Skepta & Rema),Skepta,46.4,31.4,88,280
That's Not Me,Skepta,68.4,19.7,104,529
#skeptacore pt.1,Skepta,57.7,23.8,140,588
Bullet From A Gun,Skepta,57.9,23.4,141,603
I Spy,Skepta,59.8,14.9,77,518
Shutdown,Skepta,64.3,18.2,118,650
Longtime (feat. Skepta),Skepta,34.8,41.9,65,155
What Do You Mean?,Skepta,55.2,27.7,114,411
#skeptacore pt.2,Skepta,55.6,25.1,134,534
